BIOREGION,EVC,X_EVCNAME,EVC_BCS,area1750_ha,area2005_ha,proportion_remaining
Lowan Mallee,826,Plains Savannah,E,205.04,68.73,0.33520288724151387
Otway Plain,178,Herb-rich Foothill Forest/Shrubby Foothill Forest Complex,V,205.48999999999998,68.89,0.33524745729719213
Glenelg Plain,200,Shallow Freshwater Marsh,E,975.29,328.51,0.33683314706395023
Murray Mallee,88,Heathy Mallee,LC,2138.05,720.65,0.3370594700778747
Highlands - Southern Fall,47,Valley Grassy Forest,V,33642.04,11344.9,0.33722390199880864
Dundas Tablelands,125,Plains Grassy Wetland,E,2562.04,864.59,0.3374615540740972
Gippsland Plain,863,Floodplain Reedbed,E,1617.8600000000001,549.05,0.33936805409615167
Murray Fans,870,Riverine Grassy Woodland/Plains Woodland Complex,E,1916.61,650.5600000000001,0.3394326440955646
Victorian Riverina,22,Grassy Dry Forest,D,1058.43,359.53000000000003,0.33968235972147426
Central Victorian Uplands,126,Swampy Riparian Complex,E,5244.36,1783.53,0.340085348831888
East Gippsland Lowlands,265,Valley Grassy Forest/Grassy Dry Forest Mosaic,D,7.2,2.45,0.3402777777777778
Highlands - Northern Fall,169,Dry Valley Forest,V,30.91,10.53,0.34066645098673565
Lowan Mallee,981,Parilla Mallee,E,2527.72,862.01,0.3410227398604276
Victorian Riverina,871,Riverine Grassy Woodland/Plains Woodland/Gilgai Wetland Complex,E,1.73,0.59,0.34104046242774566
Glenelg Plain,719,Grassy Woodland/Damp Sands Herb-rich Woodland Mosaic,V,1026.98,350.87,0.34165222302284365
Dundas Tablelands,746,Damp Heathland/Damp Heathy Woodland Mosaic,V,85.87,29.38,0.3421451030627693
Strzelecki Ranges,937,Swampy Woodland,E,18.349999999999998,6.28,0.3422343324250682
Dundas Tablelands,674,Sandy Stream Woodland,E,7241.95,2495.98,0.3446557902222468
Goldfields,694,Sandstone Ridge Shrubland/Low Rises Woodland Mosaic,V,60.85,21.02,0.34543960558751025
Goldfields,175,Grassy Woodland,V,411169.03,142038.29,0.34544987495775153
Gippsland Plain,902,Gully Woodland,E,636.56,219.98999999999998,0.34559193163252483
Murray Mallee,87,Lowan Sands Mallee,LC,780.6800000000001,270.83,0.34691550955577183
Victorian Riverina,1040,Riverine Grassy Woodland/Riverine Swampy Woodland Mosaic,E,13559.27,4709.51,0.347327695370031
Glenelg Plain,803,Plains Woodland,E,1196.1000000000001,416,0.3477970069392191
Goldfields,77,Alluvial Terraces Herb-rich Woodland/Plains Grassy Woodland Mosaic,E,240.13,83.94,0.3495606546454004
Victorian Riverina,72,Granitic Hills Woodland,E,368.18,128.99,0.35034493997501226
Wimmera,93,Sandstone Ridge Shrubland,V,21685.03,7625.09,0.351629211488294
Highlands - Northern Fall,186,Plains Grassy Woodland/Floodplain Riparian Woodland Complex,E,98.98,34.88,0.35239442311578095
Murray Fans,74,Wetland Formation,E,1683.04,593.62,0.35270700636942676
Goldfields,263,Plains Grassy Woodland/Plains Grassland/Plains Grassy Wetland Mosaic,E,101.03999999999999,35.67,0.3530285035629454
Wimmera,882,Shallow Sands Woodland,V,70896.57,25051.010000000002,0.3533458670849662
Greater Grampians,798,Sedgy Riparian Woodland/Riparian Scrub Mosaic,LC,193.18,68.28999999999999,0.35350450357179825
Gippsland Plain,19,Riparian Shrubland,E,2542.64,906.28,0.3564326841393198
Dundas Tablelands,68,Creekline Grassy Woodland,E,29516.01,10578.71,0.3584058278879835
Northern Inland Slopes,237,Riparian Forest/Swampy Riparian Woodland Mosaic,D,902.6,323.55,0.35846443607356526
Otway Ranges,83,Swampy Riparian Woodland,E,7.640000000000001,2.74,0.3586387434554974
Strzelecki Ranges,32,Warm Temperate Rainforest,E,3130.61,1123.66,0.35892685451078227
Warrnambool Plain,720,Swamp Scrub/Aquatic Herbland Mosaic,E,2303.34,827.15,0.35910894613908495
Central Victorian Uplands,247,Box Ironbark Forest/Grassy Woodland Complex,V,210.14000000000001,75.54,0.3594746359569811
Gippsland Plain,151,Plains Grassy Forest,V,84624.9,30426.5,0.35954547656777147
Gippsland Plain,3,Damp Sands Herb-rich Woodland,V,56610.92,20363.24,0.3597051593579472
Gippsland Plain,159,Clay Heathland/Wet Heathland/Riparian Scrub Mosaic,D,1765.31,635.15,0.35979516345571033
Otway Ranges,53,Swamp Scrub,E,216.74,78.31,0.36130848020669926
Dundas Tablelands,3,Damp Sands Herb-rich Woodland,V,58018.39,21034.56,0.3625498742726229
Highlands - Southern Fall,74,Wetland Formation,E,11.77,4.3,0.3653355989804588
Highlands - Northern Fall,178,Herb-rich Foothill Forest/Shrubby Foothill Forest Complex,D,505.12,184.68,0.3656160912258473
Goldfields,896,Grassy Woodland/Heathy Dry Forest Complex,V,836.79,306.81,0.36665113110816333
Lowan Mallee,823,Lignum Swampy Woodland,D,25.98,9.55,0.36759045419553504
Glenelg Plain,23,Herb-rich Foothill Forest,V,4895.02,1803.14,0.36836213130896295
East Gippsland Lowlands,795,Lowland Forest/Damp Sands Herb-rich Woodland Mosaic,V,50.379999999999995,18.68,0.3707820563715761
Goldfields,53,Swamp Scrub,E,379.74,141.34,0.37220203296992677
Goldfields,890,Valley Grassy Forest/Creekline Grassy Woodland Mosaic,E,655.4,245.44,0.37448886176380836
Victorian Riverina,20,Heathy Dry Forest,LC,219.3,82.23,0.3749658002735978
Highlands - Northern Fall,212,Swampy Riparian Woodland/Perched Boggy Shrubland Mosaic,V,1354.81,509.49,0.3760601117499871
Gippsland Plain,2,Coast Banksia Woodland,V,5794.31,2180.48,0.3763140046010655
Goldfields,295,Riverine Grassy Woodland,V,1.86,0.7000000000000001,0.3763440860215054
Goldfields,3,Damp Sands Herb-rich Woodland,E,5.3500000000000005,2.02,0.3775700934579439
Central Victorian Uplands,894,Scoria Cone Woodland,E,1120.72,423.56,0.3779356128203298
Glenelg Plain,751,Seasonally Inundated Shrubby Woodland/Plains Sedgy Woodland Mosaic,E,2227.22,844.06,0.3789746859313404
Wimmera,658,Riverine Grassy Woodland/Sedgy Riverine Forest/Aquatic Herbland Mosaic,V,1230.92,467.17,0.37952913268124655
Goldfields,641,Riparian Woodland,E,679.57,257.94,0.37956354753741334
Glenelg Plain,756,Heathy Woodland/Seasonally Inundated Shrubby Woodland Mosaic,E,403.26,153.07,0.3795814114963051
Murray Fans,873,Riverine Grassy Woodland/Riverine Chenopod Woodland/Wetland Mosaic,V,5968.55,2265.77,0.3796181652160072
Greater Grampians,653,Aquatic Herbland,E,72.04,27.349999999999998,0.3796501943364797
Northern Inland Slopes,186,Plains Grassy Woodland/Floodplain Riparian Woodland Complex,E,7783.33,2960.85,0.3804091564921441
Victorian Riverina,300,Reed Swamp,V,3.28,1.25,0.38109756097560976
Murray Fans,86,Woorinen Sands Mallee,D,74.13,28.35,0.3824362606232295
Dundas Tablelands,67,Alluvial Terraces Herb-rich Woodland,E,2044.98,783,0.38288883020860837
Dundas Tablelands,56,Floodplain Riparian Woodland,V,14272.26,5469.63,0.3832350307519622
Otway Plain,53,Swamp Scrub,V,1887.02,724.49,0.38393339763224554
Gippsland Plain,8,Wet Heathland,D,11097.65,4261.02,0.3839569638617185
Victorian Riverina,74,Wetland Formation,E,25213.57,9683.65,0.38406500943737837
Victorian Volcanic Plain,900,Coastal Saltmarsh/Coastal Dune Grassland/Coastal Dune Scrub/Coastal Headland Scrub Mosaic,E,27.36,10.52,0.3845029239766082
Wimmera,56,Floodplain Riparian Woodland,E,4804.91,1849.77,0.3849749527046292
East Gippsland Lowlands,23,Herb-rich Foothill Forest,LC,1.35,0.52,0.3851851851851852
Victorian Volcanic Plain,195,Seasonally Inundated Shrubby Woodland,E,448.68,173.5,0.3866898457698137
Dundas Tablelands,895,Escarpment Shrubland,E,441.06,171.01,0.3877250260735501
Greater Grampians,745,Hills Herb-rich Woodland/Plains Grassy Woodland Mosaic,V,188.03,73.09,0.38871456682444294
Murray Fans,66,Low Rises Woodland,E,1616.45,631.51,0.39067710105478054
Gippsland Plain,162,Coastal Headland Scrub/Coastal Tussock Grassland Mosaic,D,659.4699999999999,258.66,0.3922240587138157
Gippsland Plain,29,Damp Forest,E,7125.68,2798.7,0.3927625152967857
Wimmera,679,Drainage-line Woodland,E,4150.58,1631.59,0.3930992776913106
Victorian Riverina,265,Valley Grassy Forest/Grassy Dry Forest Mosaic,V,3.4000000000000004,1.3399999999999999,0.39411764705882346
Highlands - Southern Fall,56,Floodplain Riparian Woodland,E,1918.3,756.47,0.39434395037272585
Highlands - Northern Fall,127,Valley Heathy Forest,E,877.99,347.62,0.3959270606726728
Murray Mallee,86,Woorinen Sands Mallee,D,390809.22000000003,154783.93,0.39606007760001155
Central Victorian Uplands,263,Plains Grassy Woodland/Plains Grassland/Plains Grassy Wetland Mosaic,E,173.1,68.57,0.3961294049682264
Glenelg Plain,647,Plains Sedgy Wetland,E,587.75,232.96,0.3963589961718418
Goldfields,83,Swampy Riparian Woodland,E,417.42,165.66,0.39686646543050164
Victorian Volcanic Plain,203,Stony Rises Woodland,V,75248.85,29934.31,0.3978042189349073
Murray Fans,297,Billabong Wetland/Red Gum Swamp Mosaic,V,31.52,12.55,0.3981598984771574
Victorian Riverina,869,Creekline Grassy Woodland/Red Gum Swamp Mosaic,E,525.82,210.1,0.3995663915408314
Victorian Volcanic Plain,20,Heathy Dry Forest,LC,4089.81,1634.83,0.39973250591103254
Victorian Volcanic Plain,73,Rocky Outcrop Shrubland/Rocky Outcrop Herbland Mosaic,V,14.600000000000001,5.84,0.39999999999999997
Victorian Volcanic Plain,161,Coastal Headland Scrub,V,19.54,7.8500000000000005,0.40174002047082913
Dundas Tablelands,882,Shallow Sands Woodland,V,7552.98,3036.87,0.4020757369938753
Murray Fans,333,Red Gum Swamp/Plains Grassy Wetland Mosaic,E,1077.58,434.7,0.4034039236066
East Gippsland Lowlands,175,Grassy Woodland,D,28.3,11.42,0.40353356890459363
Central Victorian Uplands,937,Swampy Woodland,E,319.04,129.11,0.40468279839518556
Gippsland Plain,877,Lowland Herb-rich Forest,D,1209.98,490.7,0.40554389328749235
Strzelecki Ranges,18,Riparian Forest,V,693.46,281.75,0.4062959651602111
Highlands - Southern Fall,164,Creekline Herb-rich Woodland,V,6357.01,2594.3,0.4081006636767915
Central Victorian Uplands,174,Grassy Dry Forest/Rocky Outcrop Shrubland/Rocky Outcrop Herbland Mosaic,D,1015.9699999999999,414.7,0.40818134393732103
Otway Ranges,165,Damp Heath Scrub,E,65.77,26.98,0.4102174243576099
Central Victorian Uplands,68,Creekline Grassy Woodland,E,5634.38,2312.29,0.4103894306028347
Victorian Riverina,23,Herb-rich Foothill Forest,D,124.93,51.34,0.4109501320739614
Central Victorian Uplands,127,Valley Heathy Forest,V,2906.22,1198.19,0.4122846859494464
Gippsland Plain,795,Lowland Forest/Damp Sands Herb-rich Woodland Mosaic,V,24898.100000000002,10283.57,0.4130262951791502
Northern Inland Slopes,815,Riverine Swampy Woodland,E,2.13,0.8800000000000001,0.41314553990610337
Highlands - Northern Fall,47,Valley Grassy Forest,V,7359.63,3047.96,0.4141458198306165
Glenelg Plain,746,Damp Heathland/Damp Heathy Woodland Mosaic,D,12458.14,5167.14,0.41476014878625544
Victorian Volcanic Plain,662,Escarpment Shrubland/Grassy Woodland/Riparian Woodland Mosaic,E,50.22,20.830000000000002,0.4147749900438073
Dundas Tablelands,647,Plains Sedgy Wetland,E,2513.33,1050,0.4177724373639753
Dundas Tablelands,668,Riparian Woodland/Escarpment Shrubland Mosaic,E,69.64,29.21,0.4194428489373923
Highlands - Southern Fall,128,Grassy Forest,V,11753.68,4942.45,0.4205023447975442
Highlands - Southern Fall,41,Montane Riparian Thicket,LC,111.97,47.199999999999996,0.42154148432615873
Strzelecki Ranges,793,Damp Heathy Woodland,D,244.75,103.18,0.4215730337078652
Victorian Volcanic Plain,3,Damp Sands Herb-rich Woodland,V,4886.28,2061,0.42179326604287926
Murray Fans,132,Plains Grassland,E,91.6,38.73,0.42281659388646287
Murray Fans,102,Low Chenopod Shrubland,D,1.08,0.45999999999999996,0.4259259259259259
Lowan Mallee,48,Heathy Woodland,LC,50.77,21.68,0.4270238329722277
Glenelg Plain,733,Swamp Scrub/Plains Sedgy Wetland/Aquatic Herbland Mosaic,E,96.56,41.65,0.43133802816901406
Goldfields,320,Grassy Dry Forest/Heathy Dry Forest Complex,D,6521.38,2815.67,0.43175984224197944
Murray Fans,107,Lake Bed Herbland,V,105.68,45.73,0.4327214231642694
Glenelg Plain,793,Damp Heathy Woodland,D,2528.42,1095.53,0.433286400202498
Lowan Mallee,98,Semi-arid Chenopod Woodland,V,43.66,18.96,0.43426477324782414
Goldfields,292,Red Gum Swamp,E,1065.49,464.61,0.43605289585073537
Murray Fans,823,Lignum Swampy Woodland,V,17726.77,7778.78,0.43881541871418195
Northern Inland Slopes,80,Spring Soak Woodland,E,174.11,76.62,0.44006662454769974
Otway Plain,3,Damp Sands Herb-rich Woodland,V,3709.3,1633.44,0.440363410886151
Central Victorian Uplands,128,Grassy Forest,V,10075.62,4441.98,0.440864185032782
Warrnambool Plain,18,Riparian Forest,V,2696.16,1190.65,0.4416095483947541
Highlands - Southern Fall,408,Valley Grassy Forest/Herb-rich Foothill Forest Complex,V,64.67999999999999,28.58,0.4418676561533705
Otway Plain,851,Stream Bank Shrubland,E,29.919999999999998,13.24,0.44251336898395727
Murray Fans,292,Red Gum Swamp,V,456.3,202.54999999999998,0.4438965592811746
Murray Mallee,816,Sedgy Riverine Forest,V,23.29,10.42,0.44740231859167023
Wimmera,752,Grassy Woodland/Hills Herb-rich Woodland/Damp Sands Herb-rich Woodland Mosaic,E,54,24.2,0.44814814814814813
Glenelg Plain,707,Sedgy Swamp Woodland,E,356.04,160.65,0.4512133468149646
Victorian Volcanic Plain,851,Stream Bank Shrubland,E,3941.51,1778.6,0.45124837942818863
Otway Plain,68,Creekline Grassy Woodland,E,110.88,50.14,0.4522005772005772
Murray Fans,267,Plains Grassland/Plains Grassy Woodland/Gilgai Wetland Mosaic,E,465.19,211.1,0.45379307379780304
Wimmera,74,Wetland Formation,E,5001.66,2285.2,0.4568883130800574
Central Victorian Uplands,61,Box Ironbark Forest,V,19106.58,8754.42,0.4581887496349425
Dundas Tablelands,640,Creekline Sedgy Woodland,E,208.44,95.54,0.4583573210516216
Central Victorian Uplands,269,Riparian Shrubland/Swampy Riparian Woodland Mosaic,E,140.29,64.54,0.4600470454059449
Victorian Volcanic Plain,9,Coastal Saltmarsh,V,2300.94,1058.84,0.4601771449929159
Goldfields,802,Grassy Woodland/Heathy Woodland Mosaic,V,4029.45,1857.1200000000001,0.4608867215128616
Victorian Volcanic Plain,10,Estuarine Wetland,E,42.24,19.490000000000002,0.46141098484848486
Victorian Riverina,81,Alluvial Terraces Herb-rich Woodland/Creekline Grassy Woodland Mosaic,V,924.3199999999999,427.97,0.4630106456638394
Wimmera,68,Creekline Grassy Woodland,E,2971.1,1376.44,0.4632762276597893
Wimmera,87,Lowan Sands Mallee,LC,322.90999999999997,150.1,0.4648354030534824
Victorian Volcanic Plain,64,Rocky Chenopod Woodland,V,83.61,38.96,0.4659729697404617
Gippsland Plain,922,Coastal Alkaline Scrub/Bird Colony Succulent Herbland Mosaic,V,119.67,56.04,0.46828779142642263
Gippsland Plain,15,Limestone Box Forest,V,1166.96,547.76,0.46939055323233014
Northern Inland Slopes,61,Box Ironbark Forest,V,36961.1,17364.27,0.469798517901253
Glenelg Plain,750,Shallow Sands Woodland/Plains Sedgy Woodland/Seasonally Inundated Shrubby Woodland/Damp Sands Herb-rich Woodland Mosaic,V,12109.98,5712.74,0.47173818619023317
Gippsland Plain,935,Estuarine Wetland/Estuarine Swamp Scrub Mosaic,D,532.8100000000001,251.6,0.4722133593588708
Gippsland Plain,316,Shrubby Damp Forest,LC,243.56,115.14,0.4727377237641649
Glenelg Plain,885,Damp Sands Herb-rich Woodland/Plains Grassy Woodland Mosaic,E,1270.27,600.5699999999999,0.47278924952962753
Monaro Tablelands,37,Montane Grassy Woodland,V,12515,5925.49,0.47347103475829005
Northern Inland Slopes,153,Alluvial Terraces Herb-rich Woodland/Valley Grassy Forest Complex,E,916.35,435.40000000000003,0.4751459595132864
Wimmera,724,Plains Woodland/Plains Sedgy Woodland/Damp Sands Herb-rich Woodland Mosaic,E,5533.05,2642.1800000000003,0.47752686131518784
Wimmera,67,Alluvial Terraces Herb-rich Woodland,V,294.14,140.7,0.4783436458829129
Victorian Riverina,295,Riverine Grassy Woodland,V,13034.42,6283.57,0.4820751517904134
Wimmera,779,Damp Sands Herb-rich Woodland/Shallow Sands Woodland Mosaic,V,2203.3,1062.51,0.4822357373031362
Dundas Tablelands,643,Brackish Drainage-line Aggregate,E,644.7,310.96,0.48233286800062036
Highlands - Southern Fall,127,Valley Heathy Forest,V,1016.51,490.34000000000003,0.48237597269087373
Highlands - Southern Fall,83,Swampy Riparian Woodland,V,2350.17,1135.58,0.48319057770288953
Goldfields,81,Alluvial Terraces Herb-rich Woodland/Creekline Grassy Woodland Mosaic,V,13658.25,6603,0.48344407226401626
Strzelecki Ranges,30,Wet Forest,D,121657.17,58879.78,0.48398117431138665
Wimmera,749,Shallow Sands Woodland/Plains Sedgy Woodland/Seasonally Inundated Shrubby Woodland Mosaic,V,4170.06,2021.1,0.4846692853340239
Goldfields,74,Wetland Formation,E,858.53,416.35,0.4849568448394349
Goldfields,68,Creekline Grassy Woodland,E,25850.350000000002,12539.65,0.48508627542760535
Otway Ranges,128,Grassy Forest,E,5.93,2.88,0.48566610455311976
Gippsland Plain,641,Riparian Woodland,E,88.83,43.16,0.48587189012720927
Wimmera,125,Plains Grassy Wetland,E,200.95,97.92,0.48728539437671065
Goldfields,67,Alluvial Terraces Herb-rich Woodland,E,18120.04,8834.35,0.4875458332321562
Gippsland Plain,307,Sand Heathland/Wet Heathland Mosaic,D,1009.0200000000001,492.58000000000004,0.48817664664724186
Glenelg Plain,681,Deep Freshwater Marsh,V,817.25,399.45,0.4887733251758948
Central Victorian Uplands,67,Alluvial Terraces Herb-rich Woodland,E,8133.63,3975.58,0.4887829911122094
Dundas Tablelands,691,Aquatic Herbland/Plains Sedgy Wetland Mosaic,E,4935.26,2420.04,0.49035714430445404
East Gippsland Lowlands,55,Plains Grassy Woodland,E,1318.3899999999999,646.99,0.49074249652985846
Murray Fans,872,Riverine Grassy Woodland/Plains Woodland/Riverine Chenopod Woodland Complex,E,6756.990000000001,3316.73,0.4908590955440218
Gippsland Plain,18,Riparian Forest,V,2647.18,1303.91,0.4925656736602725
Gippsland Plain,334,Billabong Wetland Aggregate,E,797.45,393.18,0.49304658599285217
Otway Plain,691,Aquatic Herbland/Plains Sedgy Wetland Mosaic,E,114.48,56.47,0.49327393431167016
Monaro Tablelands,40,Montane Riparian Woodland,V,4502.75,2223.09,0.4937182832713342
Victorian Riverina,823,Lignum Swampy Woodland,V,38261.35,18890.49,0.4937225163252212
East Gippsland Lowlands,53,Swamp Scrub,E,300.7,148.47,0.49374792151646163
Central Victorian Uplands,164,Creekline Herb-rich Woodland,V,7554.72,3734.9,0.49437967257555543
Victorian Volcanic Plain,74,Wetland Formation,E,1777.74,879.62,0.49479676443124415
Highlands - Northern Fall,237,Riparian Forest/Swampy Riparian Woodland Mosaic,V,3444.05,1713.04,0.49739115285782726
Dundas Tablelands,745,Hills Herb-rich Woodland/Plains Grassy Woodland Mosaic,E,5690.21,2836.5,0.4984877535275499
Glenelg Plain,198,Sedgy Riparian Woodland,V,27.630000000000003,13.780000000000001,0.49873326094824466
Lowan Mallee,96,Ridged Plains Mallee,E,1351.33,674.15,0.49887888228634014
Wimmera,264,Sand Ridge Woodland,E,996.77,497.39,0.49900177573562604
Victorian Riverina,61,Box Ironbark Forest,V,7931.35,3966.04,0.5000460199083384
Wimmera,53,Swamp Scrub,E,13.79,6.91,0.5010877447425671
Victorian Riverina,333,Red Gum Swamp/Plains Grassy Wetland Mosaic,E,3078.45,1551.22,0.5038964413909598
Central Victorian Uplands,693,Plains Woodland/Plains Grassland Mosaic,E,22.51,11.35,0.504220346512661
Wimmera,812,Grassy Riverine Forest/Riverine Swamp Forest Complex,D,683.07,344.78000000000003,0.5047506112111496
Glenelg Plain,56,Floodplain Riparian Woodland,V,1870.45,948.14,0.5069047555401106
Central Victorian Uplands,272,Swampy Riparian Woodland/Spring Soak Woodland Mosaic,E,53.93,27.39,0.5078805859447432
Victorian Riverina,262,Grassy Woodland/Box Ironbark Forest Complex,E,311.72,158.6,0.5087899396894648
Dundas Tablelands,641,Riparian Woodland,E,4065.86,2069.76,0.5090583541981278
Strzelecki Ranges,8,Wet Heathland,V,258.74,132.03,0.5102805905542243
Wilsons Promontory,154,Bird Colony Shrubland,R,48.8,24.91,0.5104508196721311
Northern Inland Slopes,110,Riverine Chenopod Woodland/Plains Grassland Mosaic,E,57.74,29.509999999999998,0.5110841704191201
Central Victorian Uplands,261,Plains Grassy Woodland/Creekline Grassy Woodland Mosaic,E,273.35,140.07,0.5124199743918053
Goldfields,47,Valley Grassy Forest,V,21417.2,11023.28,0.5146928636796594
Victorian Volcanic Plain,18,Riparian Forest,V,532.55,275.86,0.5179983100178388
Wimmera,640,Creekline Sedgy Woodland,E,2677.63,1387.11,0.5180364725522196
East Gippsland Lowlands,18,Riparian Forest,D,20509.41,10650.19,0.5192830998063815
Victorian Riverina,68,Creekline Grassy Woodland,E,22071.9,11463.43,0.5193676122128136
Otway Plain,104,Lignum Swamp,E,80.15,41.660000000000004,0.5197754210854648
Victorian Volcanic Plain,653,Aquatic Herbland,E,194.1,100.91,0.5198866563626996
Otway Plain,16,Lowland Forest,D,56788.37,29696.23,0.5229280220580376
Victorian Volcanic Plain,134,Sand Forest,E,566.72,298.42,0.5265739695087521
Highlands - Southern Fall,793,Damp Heathy Woodland,D,12519.6,6622.07,0.5289362279945046
Murray Fans,168,Drainage-line Aggregate,V,5364.37,2844.47,0.5302523875124199
Victorian Riverina,261,Plains Grassy Woodland/Creekline Grassy Woodland Mosaic,E,48.51,25.75,0.5308183879612451
Strzelecki Ranges,2,Coast Banksia Woodland,V,130.04999999999998,69.14,0.5316416762783546
Victorian Riverina,287,Plains Grassy Woodland/Box Ironbark Forest Complex,E,80.8,42.99,0.5320544554455446
Otway Plain,154,Bird Colony Shrubland,R,4.64,2.47,0.5323275862068967
Greater Grampians,55,Plains Grassy Woodland,V,11137.76,5938.37,0.5331745341971814
Gippsland Plain,858,Coastal Alkaline Scrub,V,11323.6,6040.63,0.533454908333039
Victorian Volcanic Plain,106,Grassy Riverine Forest,na,34.98,18.68,0.5340194396798171
Central Victorian Uplands,80,Spring Soak Woodland,E,37.8,20.22,0.5349206349206349
Wimmera,61,Box Ironbark Forest,D,142.04,76.24,0.5367502112081104
Northern Inland Slopes,68,Creekline Grassy Woodland,E,4330.49,2333.28,0.5388027682779548
Goldfields,48,Heathy Woodland,D,15959.17,8634.12,0.5410130977989457
Victorian Riverina,56,Floodplain Riparian Woodland,V,36587.43,19795.71,0.5410522138340954
Murray Fans,321,Riverine Chenopod Woodland/Lignum Swamp Mosaic,E,311.7,168.72,0.5412897016361886
Warrnambool Plain,162,Coastal Headland Scrub/Coastal Tussock Grassland Mosaic,V,1490.67,808.26,0.5422125621364889
Wimmera,71,Hills Herb-rich Woodland,V,1397.7,758.91,0.5429705945481863
Wimmera,647,Plains Sedgy Wetland,E,261.03,141.85,0.543424127494924
Warrnambool Plain,45,Shrubby Foothill Forest,D,2743.11,1492.06,0.5439300647804863
Central Victorian Uplands,293,Riparian Forest/Creekline Grassy Woodland Mosaic,V,155.41,84.68,0.5448812817707999
Murray Fans,1041,Riverine Grassy Woodland/Sedgy Riverine Forest Mosaic,V,914.11,498.54,0.5453829407839319
Otway Ranges,1,Coastal Dune Scrub/Coastal Dune Grassland Mosaic,D,88.13,48.07,0.5454442301146034
Northern Inland Slopes,152,Alluvial Terraces Herb-rich Woodland/Plains Grassy Woodland Complex,E,57.21,31.29,0.5469323544834819
Victorian Volcanic Plain,692,Mangrove Shrubland/Coastal Saltmarsh/Berm Grassy Shrubland/Estuarine Flats Grassland Mosaic,E,71.52,39.15,0.5473993288590604
Victorian Volcanic Plain,191,Riparian Scrub,E,323.79,177.62,0.548565428209642
Victorian Riverina,802,Grassy Woodland/Heathy Woodland Mosaic,V,34.38,18.95,0.5511925538103548
Strzelecki Ranges,191,Riparian Scrub,V,548.22,303.27,0.5531903250519864
Victorian Volcanic Plain,302,Coastal Saltmarsh/Mangrove Shrubland Mosaic,E,1098.99,608.32,0.5535264197126453
Central Victorian Uplands,1040,Riverine Grassy Woodland/Riverine Swampy Woodland Mosaic,E,10.35,5.7299999999999995,0.553623188405797
Murray Fans,808,Lignum Shrubland,V,998.56,553.0699999999999,0.5538675692997916
Central Victorian Uplands,64,Rocky Chenopod Woodland,V,1668.06,924.16,0.5540328285553278
Northern Inland Slopes,83,Swampy Riparian Woodland,E,604.3199999999999,335.53,0.5552190892242521
Central Victorian Uplands,23,Herb-rich Foothill Forest,D,148577.42,82545.2,0.5555702878674296
Greater Grampians,768,Wet Heathland/Riparian Scrub Mosaic,V,16.44,9.16,0.5571776155717761
Greater Grampians,881,Damp Sands Herb-rich Woodland/Heathy Woodland Mosaic,LC,128.38,71.57,0.5574855896557096
Greater Grampians,660,Plains Woodland/Plains Grassy Wetland Mosaic,E,284,158.39000000000001,0.5577112676056338
Gippsland Plain,921,Coast Banksia Woodland/Coastal Dune Scrub Mosaic,V,1276.4099999999999,712.86,0.5584882600418362
Highlands - Northern Fall,40,Montane Riparian Woodland,V,5328.31,2980.71,0.5594100193119393
Victorian Riverina,110,Riverine Chenopod Woodland/Plains Grassland Mosaic,E,1096.61,613.69,0.5596246614566711
Wimmera,291,Cane Grass Wetland,V,5694.46,3192.78,0.5606817854546349
Glenelg Plain,653,Aquatic Herbland,E,1011.17,566.99,0.5607266829514326
Wimmera,757,Damp Sands Herb-rich Woodland/Seasonally Inundated Shrubby Woodland Mosaic,V,342.68,192.83,0.5627115676432823
Victorian Volcanic Plain,921,Coast Banksia Woodland/Coastal Dune Scrub Mosaic,V,10.93,6.159999999999999,0.5635864592863677
Highlands - Southern Fall,40,Montane Riparian Woodland,E,390.7,220.95000000000002,0.5655234195034554
Dundas Tablelands,750,Shallow Sands Woodland/Plains Sedgy Woodland/Seasonally Inundated Shrubby Woodland/Damp Sands Herb-rich Woodland Mosaic,E,572.08,324.31,0.5668962382883512
Greater Grampians,885,Damp Sands Herb-rich Woodland/Plains Grassy Woodland Mosaic,LC,509.55,288.87,0.5669119811598469
Glenelg Plain,179,Heathy Herb-rich Woodland,D,27481.059999999998,15591.69,0.5673613026571755
East Gippsland Lowlands,3,Damp Sands Herb-rich Woodland,V,696.48,395.39,0.5676975648977716
Central Victorian Uplands,72,Granitic Hills Woodland,D,10675.85,6081.41,0.5696417615459191
Highlands - Southern Fall,37,Montane Grassy Woodland,D,2254.53,1285.31,0.5701010853703432
Gippsland Plain,32,Warm Temperate Rainforest,E,544.15,310.99,0.571515207203896
Highlands - Southern Fall,17,Riparian Scrub/Swampy Riparian Woodland Complex,V,7107.67,4071.8,0.5728740923537531
Monaro Tablelands,47,Valley Grassy Forest,D,85.39,48.92,0.5729008080571496
Dundas Tablelands,757,Damp Sands Herb-rich Woodland/Seasonally Inundated Shrubby Woodland Mosaic,V,240.68,138.23,0.5743310619910253
Glenelg Plain,68,Creekline Grassy Woodland,E,13.450000000000001,7.73,0.5747211895910781
Murray Mallee,813,Intermittent Swampy Woodland,V,7268.93,4179.29,0.5749525721117138
Gippsland Plain,910,Bird Colony Succulent Herbland/Coastal Tussock Grassland Mosaic,R,38.18,22.04,0.5772655840754322
