BIOREGION,EVC,X_EVCNAME,EVC_BCS,area1750_ha,area2005_ha,proportion_remaining
Victorian Riverina,125,Plains Grassy Wetland,E,6904.29,2134.48,0.3091527151959144
Northern Inland Slopes,943,Lignum Swampy Woodland/Plains Grassland Mosaic,E,41.52,12.9,0.3106936416184971
Victorian Riverina,240,Plains Grassy Woodland/Creekline Grassy Woodland/Wetland Formation Mosaic,E,6295.389999999999,1963.8899999999999,0.31195684461169204
Wimmera,55,Plains Grassy Woodland,E,47859.81,14971.529999999999,0.3128205063914796
East Gippsland Lowlands,151,Plains Grassy Forest,E,2012.68,629.88,0.3129558598485601
Central Victorian Uplands,896,Grassy Woodland/Heathy Dry Forest Complex,E,30165.46,9444.7,0.3130965017606229
Highlands - Northern Fall,56,Floodplain Riparian Woodland,E,446.26,139.8,0.31327029086182945
Central Victorian Uplands,56,Floodplain Riparian Woodland,E,25111.86,7877.15,0.3136824592045352
Lowan Mallee,66,Low Rises Woodland,E,1010.63,318.77,0.3154171160563213
Victorian Riverina,3,Damp Sands Herb-rich Woodland,E,211.51,66.74,0.3155406363765306
Victorian Riverina,263,Plains Grassy Woodland/Plains Grassland/Plains Grassy Wetland Mosaic,E,6632.84,2093.17,0.31557673636029215
Gippsland Plain,315,Shrubby Foothill Forest/Damp Forest Complex,E,8.58,2.73,0.3181818181818182
Glenelg Plain,53,Swamp Scrub,V,3874.94,1234.79,0.31866041796776207
Murray Fans,264,Sand Ridge Woodland,E,3877.86,1236.02,0.31873765427323314
Central Victorian Uplands,53,Swamp Scrub,E,774.6,248.18,0.3203976245804286
Victorian Riverina,104,Lignum Swamp,V,48306.83,15561.59,0.32214057515262334
Northern Inland Slopes,238,Plains Grassy Woodland/Creekline Grassy Woodland/Floodplain Riparian Woodland Mosaic,E,21.97,7.08,0.32225762403277197
Victorian Volcanic Plain,691,Aquatic Herbland/Plains Sedgy Wetland Mosaic,E,19139.69,6188.54,0.32333543542241283
Gippsland Plain,23,Herb-rich Foothill Forest,V,9757.06,3162.58,0.32413247433140724
Victorian Riverina,67,Alluvial Terraces Herb-rich Woodland,V,644.13,209.81,0.32572617328800085
Robinvale Plains,158,Chenopod Mallee,V,1261.58,411.07,0.32583744193788744
East Gippsland Uplands,40,Montane Riparian Woodland,E,726.63,237.38,0.3266862089371482
East Gippsland Uplands,318,Montane Swamp,E,188.57,61.79,0.32767672482367294
Victorian Volcanic Plain,895,Escarpment Shrubland,E,2598.9700000000003,854.52,0.328791790593966
Wimmera,652,Lunette Woodland,E,1448.08,477.94,0.3300508259212198
Goldfields,282,Shrubby Woodland,LC,1.09,0.36,0.33027522935779813
Goldfields,334,Billabong Wetland Aggregate,V,5.53,1.83,0.3309222423146474
Robinvale Plains,98,Semi-arid Chenopod Woodland,V,1536.15,509.65,0.3317709859063242
Central Victorian Uplands,895,Escarpment Shrubland,E,1353.49,449.54,0.3321339647873276
Central Victorian Uplands,248,Grassy Dry Forest/Granitic Hills Woodland Complex,D,392.6,130.46,0.3322975038206826
Bridgewater,3,Damp Sands Herb-rich Woodland,V,836.98,278.19,0.3323735334177639
